id,barcode,recipient_name,address,city_district,package_type,size,dimensions_cm,weight_kg,fragile,priority,payment_method,cod_amount_eur,insurance_value_eur,special_instructions,order_date,status
265,KE00026553,Eva Molnár,"Kyjevská 45/19, Košice - Juh",Juh,Liek,XXL,120x80x70,40.99,Nie,Overnight,Dobierka,317.7,1617.36,,2026-05-16,Čaká na doručenie
266,KE00026667,Tomáš Nagy,"Rybná 147, Košice - Lorinčík",Lorinčík,Oblečenie,S,18x14x9,0.76,Nie,Expres,Firemná faktura,,,,2026-05-13,Čaká na doručenie
267,KE00026777,Matúš Polák,"Údolná 48/9, Košice - Lorinčík",Lorinčík,Dokument,XXL,108x72x63,39.76,Nie,Štandard,Dobierka,468.71,1544.16,,2026-05-11,Čaká na doručenie
268,KE00026870,Boris Farkas,"Janigova 68/6, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Liek,M,26x22x17,3.82,Nie,Expres,Platba vopred,,1831.39,,2026-05-18,Čaká na doručenie
269,KE00026949,Filip Fehér,"Slnečná 70/9, Košice - Myslava",Myslava,Nábytok,S,20x15x10,1.02,Nie,Štandard,Firemná faktura,,188.21,,2026-05-11,Čaká na doručenie
270,KE00027047,Ján Kováč,"Javorová 67, Košice - Barca",Barca,Knihy,XL,90x67x56,25.89,Nie,Štandard,Firemná faktura,,866.57,Volať vopred,2026-05-11,Čaká na doručenie
271,KE00027178,Andrea Máté,"Trieda SNP 141, Košice - Sever",Sever,Potraviny,L,47x38x28,3.29,Nie,Overnight,Dobierka,314.53,,Volať vopred,2026-05-14,Čaká na doručenie
272,KE00027246,Vladimír Tkáč,"Záhradná 49/12, Košice - Kavečany",Kavečany,Oblečenie,XS,10x10x5,0.35,Nie,Expres,Platba vopred,,1944.94,,2026-05-18,Čaká na doručenie
273,KE00027328,Lukáš Hudák,"Čermeľská 113/15, Košice - Kavečany",Kavečany,Oblečenie,XS,9x9x4,0.24,Nie,Expres,Platba vopred,,,Nevystavovať vlhku,2026-05-13,Čaká na doručenie
274,KE00027441,Veronika Novák,"Fábryho 101, Košice - Sídlisko KVP",Sídlisko KVP,Potraviny,S,23x17x11,0.65,Nie,Overnight,Platba vopred,,,,2026-05-12,Čaká na doručenie
275,KE00027535,Ivana Katona,"Gemerská 118/7, Košice - Sídlisko KVP",Sídlisko KVP,Oblečenie,S,19x14x9,1.43,Nie,Ekonomický,Platba vopred,,,Horná strana nahor,2026-05-14,Čaká na doručenie
276,KE00027657,Igor Fodor,"Barčianska 56/16, Košice - Barca",Barca,Nábytok,M,24x20x16,4.07,Nie,Štandard,Dobierka,25.79,,,2026-05-11,Čaká na doručenie
277,KE00027792,Ondrej Gál,"Toryská 41, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Balík,M,35x29x23,4.99,Nie,Štandard,Platba vopred,,1963.53,Horná strana nahor,2026-05-16,Čaká na doručenie
278,KE00027869,Zuzana Balogh,"Javorová 50, Košice - Barca",Barca,Liek,XXL,102x68x59,45.95,Nie,Expres,Firemná faktura,,701.85,,2026-05-15,Čaká na doručenie
279,KE00027989,Ivana Hudák,"Horná 142, Košice - Kavečany",Kavečany,Knihy,L,45x36x27,4.69,Nie,Štandard,Platba vopred,,,,2026-05-18,Čaká na doručenie
280,KE00028018,Zuzana Blaho,"Bernoláková 17/35, Košice - Sever",Sever,Krehký tovar,XL,85x64x53,23.67,Áno,Expres,Firemná faktura,,,Nevystavovať vlhku,2026-05-17,Čaká na doručenie
281,KE00028111,Marek Sipos,"Hemerkova 46/13, Košice - Sídlisko KVP",Sídlisko KVP,Potraviny,S,16x12x8,1.23,Nie,Expres,Firemná faktura,,1438.51,Krehké - opatrne,2026-05-18,Čaká na doručenie
282,KE00028237,Igor Tóth,"Minská 21, Košice - Juh",Juh,Potraviny,M,30x25x20,4.72,Nie,Overnight,Dobierka,310.38,614.77,,2026-05-18,Čaká na doručenie
283,KE00028395,Zuzana Blaho,"Opátska 26/35, Košice - Vyšné Opátske",Vyšné Opátske,Krehký tovar,S,20x15x10,0.65,Áno,Štandard,Platba vopred,,,,2026-05-13,Čaká na doručenie
284,KE00028465,Monika Lukács,"Lorinčícka 43/36, Košice - Lorinčík",Lorinčík,Nábytok,M,31x26x21,2.9,Nie,Štandard,Firemná faktura,,,Skladovať v chlade,2026-05-13,Čaká na doručenie
285,KE00028510,Zuzana Rácz,"Robotnícka 62/14, Košice - Šaca",Šaca,Liek,XL,93x70x58,9.86,Nie,Štandard,Firemná faktura,,1781.75,,2026-05-18,Čaká na doručenie
286,KE00028639,Andrej Szűcs,"Bačíkova 55/2, Košice - Košická Nová Ves",Košická Nová Ves,Nábytok,M,35x29x23,2.8,Nie,Ekonomický,Dobierka,181.05,1168.49,Volať vopred,2026-05-16,Čaká na doručenie
287,KE00028783,Juraj Vincze,"Lesná 24/37, Košice - Kavečany",Kavečany,Krehký tovar,XS,10x10x5,0.42,Áno,Štandard,Platba vopred,,,Nezalomovať,2026-05-14,Čaká na doručenie
288,KE00028879,Eva Fodor,"Poľovská 15/22, Košice - Poľov",Poľov,Elektronika,L,58x46x35,2.69,Áno,Expres,Platba vopred,,91.95,Nezalomovať,2026-05-12,Čaká na doručenie
289,KE00028916,Michal Hegedűs,"Rovníková 129/10, Košice - Nad jazerom",Nad jazerom,Nábytok,XXL,143x95x83,48.84,Áno,Štandard,Firemná faktura,,956.95,Doručiť osobne,2026-05-16,Čaká na doručenie
290,KE00029097,Lenka Fodor,"Potočná 68, Košice - Krásna",Krásna,Náhradný diel,XXL,102x68x59,15.39,Nie,Štandard,Platba vopred,,865.83,Nevystavovať vlhku,2026-05-15,Čaká na doručenie
291,KE00029135,Eva Blaho,"Janigova 106, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Oblečenie,M,28x23x18,3.45,Nie,Štandard,Firemná faktura,,1638.16,Horná strana nahor,2026-05-16,Čaká na doručenie
292,KE00029236,Michal Polák,"Ovocná 22, Košice - Barca",Barca,Oblečenie,XL,93x70x58,26.46,Nie,Štandard,Dobierka,227.78,1080.63,Krehké - opatrne,2026-05-18,Čaká na doručenie
293,KE00029344,Matúš Hudák,"Brestová 67/40, Košice - Krásna",Krásna,Nábytok,XXL,129x86x75,10.74,Nie,Ekonomický,Dobierka,34.75,,,2026-05-15,Čaká na doručenie
294,KE00029422,Dušan Fedor,"Šrobárova 3, Košice - Sídlisko KVP",Sídlisko KVP,Dokument,XXL,136x91x79,36.4,Nie,Štandard,Platba vopred,,,,2026-05-12,Čaká na doručenie
295,KE00029590,Róbert Lukács,"Továrenská 137, Košice - Šaca",Šaca,Balík,L,51x40x30,10.97,Nie,Štandard,Firemná faktura,,710.31,Nezalomovať,2026-05-16,Čaká na doručenie
296,KE00029676,Michal Fábián,"Bačíkova 129, Košice - Košická Nová Ves",Košická Nová Ves,Balík,M,34x28x23,4.51,Nie,Ekonomický,Dobierka,174.18,1462.48,,2026-05-12,Čaká na doručenie
297,KE00029777,Ladislav Király,"Čínska 62/28, Košice - Sever",Sever,Krehký tovar,M,29x24x19,1.09,Áno,Štandard,Platba vopred,,,Volať vopred,2026-05-16,Čaká na doručenie
298,KE00029848,Dávid Molnár,"Šírková 38/37, Košice - Nad jazerom",Nad jazerom,Dokument,XS,10x10x5,0.48,Nie,Štandard,Dobierka,19.59,,Skladovať v chlade,2026-05-13,Čaká na doručenie
299,KE00029927,Vladimír Novák,"Záhradná 39/7, Košice - Myslava",Myslava,Oblečenie,XS,11x11x5,0.34,Nie,Expres,Platba vopred,,1561.85,Krehké - opatrne,2026-05-18,Čaká na doručenie
300,KE00030035,Richard Farkas,"Pustovnícka 121/24, Košice - Vyšné Opátske",Vyšné Opátske,Elektronika,L,49x39x29,3.29,Áno,Štandard,Platba vopred,,1345.96,Skladovať v chlade,2026-05-14,Čaká na doručenie
301,KE00030183,Natália Sipos,"Hviezdna 46/29, Košice - Juh",Juh,Elektronika,XXL,111x74x65,28.3,Áno,Štandard,Firemná faktura,,,Skladovať v chlade,2026-05-13,Čaká na doručenie
302,KE00030248,Anna Varga,"Brestová 10/29, Košice - Krásna",Krásna,Balík,S,20x15x10,0.91,Nie,Štandard,Platba vopred,,,Volať vopred,2026-05-15,Čaká na doručenie
303,KE00030367,Natália Tóth,"Poľná 43, Košice - Košická Nová Ves",Košická Nová Ves,Liek,XXL,120x80x70,15.69,Nie,Štandard,Dobierka,294.8,,Skladovať v chlade,2026-05-16,Čaká na doručenie
304,KE00030459,Róbert Mészáros,"Rooseveltova 117/46, Košice - Staré Mesto",Staré Mesto,Krehký tovar,XS,9x9x4,0.38,Áno,Expres,Dobierka,61.51,1052.4,,2026-05-11,Čaká na doručenie
305,KE00030567,Zuzana Varga,"Pustovnícka 41, Košice - Vyšné Opátske",Vyšné Opátske,Krehký tovar,S,23x17x11,1.22,Áno,Štandard,Dobierka,385.73,1463.02,Skladovať v chlade,2026-05-18,Čaká na doručenie
306,KE00030668,Ján Gál,"Bačíkova 31/13, Košice - Košická Nová Ves",Košická Nová Ves,Liek,M,24x20x16,2.74,Áno,Štandard,Platba vopred,,,,2026-05-15,Čaká na doručenie
307,KE00030795,Milan Máté,"Kamenná 21/1, Košice - Lorinčík",Lorinčík,Elektronika,M,31x26x20,3.01,Áno,Štandard,Dobierka,328.37,,Doručiť osobne,2026-05-18,Čaká na doručenie
308,KE00030851,Andrea Novák,"Záhradnícka 23, Košice - Košická Nová Ves",Košická Nová Ves,Nábytok,S,21x16x10,1.3,Nie,Štandard,Firemná faktura,,,Nevystavovať vlhku,2026-05-18,Čaká na doručenie
309,KE00030990,Tomáš Tkáč,"Javorová 18/36, Košice - Barca",Barca,Oblečenie,L,42x34x25,10.72,Nie,Štandard,Dobierka,108.48,,Nevystavovať vlhku,2026-05-18,Čaká na doručenie
310,KE00031088,Jakub Tkáč,"Opátska 124/39, Košice - Vyšné Opátske",Vyšné Opátske,Náhradný diel,L,52x41x31,5.43,Nie,Štandard,Firemná faktura,,,Horná strana nahor,2026-05-11,Čaká na doručenie
311,KE00031137,Peter Mészáros,"Považská 50, Košice - Sever",Sever,Elektronika,XXL,134x89x78,39.5,Áno,Expres,Firemná faktura,,1614.03,Krehké - opatrne,2026-05-18,Čaká na doručenie
312,KE00031296,Tomáš Krajčí,"Štúrova 52/17, Košice - Staré Mesto",Staré Mesto,Balík,M,30x25x20,1.96,Nie,Štandard,Platba vopred,,682.49,Môže zanechať u suseda,2026-05-16,Čaká na doručenie
313,KE00031350,Miroslav Fábián,"Okružná 10/31, Košice - Pereš",Pereš,Knihy,L,57x46x34,8.52,Nie,Štandard,Platba vopred,,,,2026-05-14,Čaká na doručenie
314,KE00031449,Ondrej Fekete,"Brestová 5, Košice - Krásna",Krásna,Balík,M,24x20x16,1.17,Nie,Štandard,Platba vopred,,,Doručiť osobne,2026-05-12,Čaká na doručenie
315,KE00031574,Martina Polák,"Herlianska 70, Košice - Šaca",Šaca,Elektronika,M,29x24x19,4.78,Áno,Štandard,Dobierka,190.24,194.28,,2026-05-18,Čaká na doručenie
316,KE00031676,Róbert Fekete,"Zlatá 124/10, Košice - Staré Mesto",Staré Mesto,Knihy,L,54x43x32,8.33,Nie,Štandard,Platba vopred,,781.3,,2026-05-15,Čaká na doručenie
317,KE00031778,Helena Nagy,"Cottbuská 80/44, Košice - Dargovských hrdinov",Dargovských hrdinov,Náhradný diel,M,29x24x19,0.71,Nie,Expres,Dobierka,380.45,580.27,Krehké - opatrne,2026-05-15,Čaká na doručenie
318,KE00031883,Dávid Fedor,"Továrenská 31, Košice - Šaca",Šaca,Náhradný diel,XS,8x8x4,0.35,Nie,Štandard,Firemná faktura,,,,2026-05-16,Čaká na doručenie
319,KE00031935,Jana Fehér,"Šoltésovej 19, Košice - Sever",Sever,Balík,L,41x32x24,1.41,Áno,Štandard,Platba vopred,,671.34,,2026-05-11,Čaká na doručenie
320,KE00032095,Filip Mészáros,"Krásnohorská 120/6, Košice - Krásna",Krásna,Liek,XS,9x9x4,0.37,Nie,Štandard,Dobierka,448.37,1402.23,Krehké - opatrne,2026-05-14,Čaká na doručenie
321,KE00032123,Tomáš Olah,"Priemyselná 117, Košice - Šaca",Šaca,Krehký tovar,XS,9x9x4,0.28,Áno,Štandard,Platba vopred,,,Skladovať v chlade,2026-05-17,Čaká na doručenie
322,KE00032282,Anna Halász,"Robotnícka 19/35, Košice - Šaca",Šaca,Náhradný diel,XL,77x57x48,19.76,Nie,Štandard,Dobierka,108.08,,,2026-05-12,Čaká na doručenie
323,KE00032386,Dušan Szabó,"Robotnícka 61, Košice - Šaca",Šaca,Liek,XXL,140x93x82,32.97,Nie,Štandard,Platba vopred,,817.53,Doručiť osobne,2026-05-11,Čaká na doručenie
324,KE00032459,Dušan Tóth,"Sofijská 84, Košice - Dargovských hrdinov",Dargovských hrdinov,Nábytok,XS,8x8x4,0.16,Nie,Ekonomický,Dobierka,77.63,,Horná strana nahor,2026-05-16,Čaká na doručenie
325,KE00032557,Ladislav Jakab,"Viničná 53/21, Košice - Myslava",Myslava,Potraviny,XXL,110x73x64,47.73,Nie,Expres,Platba vopred,,595.43,,2026-05-12,Čaká na doručenie
326,KE00032681,Rastislav Tkáč,"Krásnohorská 1/23, Košice - Krásna",Krásna,Potraviny,XS,8x8x4,0.38,Nie,Expres,Firemná faktura,,286.75,,2026-05-15,Čaká na doručenie
327,KE00032768,Dušan Šimko,"Poľná 107, Košice - Poľov",Poľov,Krehký tovar,S,16x12x8,1.37,Áno,Expres,Firemná faktura,,1613.82,Nevystavovať vlhku,2026-05-16,Čaká na doručenie
328,KE00032883,Petra Máté,"Rybná 47, Košice - Lorinčík",Lorinčík,Potraviny,L,47x38x28,4.16,Nie,Expres,Platba vopred,,,Skladovať v chlade,2026-05-14,Čaká na doručenie
329,KE00032921,Katarína Lukáč,"Barčianska 10/46, Košice - Barca",Barca,Krehký tovar,XL,79x59x49,21.64,Áno,Expres,Firemná faktura,,1780.93,,2026-05-11,Čaká na doručenie
330,KE00033047,Barbora Krajčí,"Vietnamská 20/35, Košice - Sever",Sever,Balík,XL,65x49x41,12.28,Nie,Štandard,Firemná faktura,,,Krehké - opatrne,2026-05-12,Čaká na doručenie
331,KE00033126,Adam Krajčí,"Bačíkova 10/39, Košice - Košická Nová Ves",Košická Nová Ves,Liek,XXL,133x89x77,20.42,Nie,Štandard,Firemná faktura,,,Volať vopred,2026-05-18,Čaká na doručenie
332,KE00033240,Natália Fedor,"Opátska 72, Košice - Vyšné Opátske",Vyšné Opátske,Dokument,M,34x28x22,0.56,Nie,Expres,Firemná faktura,,1567.23,,2026-05-13,Čaká na doručenie
333,KE00033354,Lukáš Hudák,"Nová 136/22, Košice - Pereš",Pereš,Liek,XL,93x70x58,7.16,Nie,Expres,Firemná faktura,,,Môže zanechať u suseda,2026-05-16,Čaká na doručenie
334,KE00033411,Anna Halász,"Fábryho 30, Košice - Sídlisko KVP",Sídlisko KVP,Náhradný diel,L,46x36x27,11.45,Nie,Štandard,Firemná faktura,,,,2026-05-16,Čaká na doručenie
335,KE00033560,Ondrej Varga,"Poľná 98/34, Košice - Košická Nová Ves",Košická Nová Ves,Potraviny,XS,11x11x5,0.35,Nie,Expres,Dobierka,138.81,,Volať vopred,2026-05-17,Čaká na doručenie
336,KE00033613,Filip Novák,"Viničná 50/44, Košice - Myslava",Myslava,Dokument,M,30x25x20,3.53,Áno,Štandard,Dobierka,225.74,394.23,,2026-05-15,Čaká na doručenie
337,KE00033794,Rastislav Török,"Ťahanovská 56/41, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Potraviny,XS,8x8x4,0.34,Nie,Expres,Platba vopred,,596.19,,2026-05-17,Čaká na doručenie
338,KE00033872,Dušan Rácz,"Astrová 71/45, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Oblečenie,M,27x22x18,4.01,Nie,Expres,Platba vopred,,886.74,,2026-05-14,Čaká na doručenie
339,KE00033973,Miroslav Fehér,"Leningradská 46/7, Košice - Juh",Juh,Liek,L,44x35x26,10.01,Nie,Expres,Dobierka,287.82,,,2026-05-14,Čaká na doručenie
340,KE00034098,Miroslav Szűcs,"Ďumbierska 10/18, Košice - Nad jazerom",Nad jazerom,Náhradný diel,M,34x29x23,3.09,Nie,Expres,Firemná faktura,,775.0,,2026-05-17,Čaká na doručenie
341,KE00034159,Jana Hegedűs,"Perešská 146/23, Košice - Pereš",Pereš,Dokument,M,28x24x19,3.35,Nie,Štandard,Firemná faktura,,1113.41,,2026-05-14,Čaká na doručenie
342,KE00034292,Filip Balogh,"Galaktická 100/41, Košice - Juh",Juh,Elektronika,L,41x33x25,9.86,Áno,Štandard,Dobierka,361.27,1587.55,Horná strana nahor,2026-05-15,Čaká na doručenie
343,KE00034319,Peter Varga,"Poľná 137/29, Košice - Košická Nová Ves",Košická Nová Ves,Balík,M,24x20x16,4.05,Nie,Štandard,Firemná faktura,,,,2026-05-16,Čaká na doručenie
344,KE00034423,Natália Varga,"Hemerkova 126/31, Košice - Sídlisko KVP",Sídlisko KVP,Krehký tovar,S,21x16x10,0.43,Áno,Expres,Platba vopred,,1186.17,,2026-05-11,Čaká na doručenie
345,KE00034537,Róbert Fodor,"Bukureštská 57, Košice - Dargovských hrdinov",Dargovských hrdinov,Potraviny,M,33x28x22,4.92,Nie,Štandard,Platba vopred,,,,2026-05-13,Čaká na doručenie
346,KE00034690,Rastislav Fedor,"Vstupný areál 45, Košice - Sídlisko KVP",Sídlisko KVP,Knihy,S,22x16x11,0.5,Nie,Štandard,Platba vopred,,,Nevystavovať vlhku,2026-05-16,Čaká na doručenie
347,KE00034767,Ján Kováč,"Hájna 5/6, Košice - Poľov",Poľov,Nábytok,S,23x17x11,1.47,Nie,Overnight,Firemná faktura,,549.19,Môže zanechať u suseda,2026-05-16,Čaká na doručenie
348,KE00034879,Helena Novák,"Údolná 45/3, Košice - Lorinčík",Lorinčík,Oblečenie,XXL,119x79x69,48.01,Áno,Štandard,Dobierka,63.17,1524.65,,2026-05-17,Čaká na doručenie
349,KE00034988,Juraj Fedor,"Kláštorná 119/43, Košice - Vyšné Opátske",Vyšné Opátske,Liek,XS,8x8x4,0.42,Nie,Štandard,Platba vopred,,510.25,Volať vopred,2026-05-13,Čaká na doručenie
350,KE00035051,Richard Kováčik,"Myslavská 27/35, Košice - Myslava",Myslava,Elektronika,XS,9x9x4,0.15,Áno,Expres,Firemná faktura,,,Môže zanechať u suseda,2026-05-12,Čaká na doručenie
351,KE00035132,Milan Bogdán,"Brnianska 84, Košice - Sever",Sever,Elektronika,L,57x45x34,6.26,Áno,Štandard,Platba vopred,,1222.77,Doručiť osobne,2026-05-12,Čaká na doručenie
352,KE00035268,Róbert Fábián,"Poľná 35, Košice - Poľov",Poľov,Krehký tovar,M,35x29x23,1.41,Áno,Štandard,Firemná faktura,,,Nevystavovať vlhku,2026-05-16,Čaká na doručenie
353,KE00035372,Tibor Király,"Údolná 88, Košice - Lorinčík",Lorinčík,Nábytok,S,22x16x11,1.35,Nie,Ekonomický,Platba vopred,,,Skladovať v chlade,2026-05-17,Čaká na doručenie
354,KE00035415,Matúš Fodor,"Minská 119, Košice - Juh",Juh,Potraviny,XXL,137x91x80,19.91,Nie,Štandard,Platba vopred,,,Skladovať v chlade,2026-05-18,Čaká na doručenie
355,KE00035521,Monika Olah,"Priečna 9, Košice - Pereš",Pereš,Elektronika,XXL,135x90x78,28.1,Áno,Štandard,Firemná faktura,,485.73,Doručiť osobne,2026-05-15,Čaká na doručenie
356,KE00035690,Anna Jakab,"Vodná 79, Košice - Staré Mesto",Staré Mesto,Liek,XXL,124x82x72,49.06,Nie,Expres,Firemná faktura,,,,2026-05-11,Čaká na doručenie
357,KE00035796,Petra Csonka,"Juhoslovanská 86/19, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Nábytok,M,32x26x21,3.26,Nie,Expres,Dobierka,441.02,,,2026-05-18,Čaká na doručenie
358,KE00035893,Anna Gál,"Barčianska 29, Košice - Barca",Barca,Náhradný diel,XS,9x9x4,0.17,Nie,Expres,Platba vopred,,,Môže zanechať u suseda,2026-05-13,Čaká na doručenie
359,KE00035996,Stanislav Molnár,"Priečna 54/49, Košice - Pereš",Pereš,Potraviny,M,34x28x23,2.77,Áno,Štandard,Firemná faktura,,,Horná strana nahor,2026-05-17,Čaká na doručenie
360,KE00036073,Filip Szabó,"Hornohorská 116/44, Košice - Krásna",Krásna,Dokument,S,23x17x11,1.02,Nie,Štandard,Platba vopred,,1397.19,Doručiť osobne,2026-05-17,Čaká na doručenie
361,KE00036176,Tibor Pintér,"Jazerná 134/2, Košice - Nad jazerom",Nad jazerom,Knihy,XXL,121x81x71,15.28,Nie,Štandard,Dobierka,98.59,,,2026-05-18,Čaká na doručenie
362,KE00036246,Boris Molnár,"Továrenská 149, Košice - Šaca",Šaca,Náhradný diel,L,51x41x31,10.76,Nie,Štandard,Dobierka,395.73,973.64,,2026-05-16,Čaká na doručenie
363,KE00036383,Dávid Gál,"Hemerkova 91, Košice - Sídlisko KVP",Sídlisko KVP,Krehký tovar,S,21x16x10,0.71,Áno,Overnight,Platba vopred,,1987.61,Môže zanechať u suseda,2026-05-16,Čaká na doručenie
364,KE00036473,Juraj Máté,"Dĺžková 67, Košice - Nad jazerom",Nad jazerom,Knihy,XXL,97x65x56,22.68,Nie,Štandard,Firemná faktura,,,Nezalomovať,2026-05-17,Čaká na doručenie
365,KE00036571,Adam Fehér,"Dĺžková 82, Košice - Nad jazerom",Nad jazerom,Liek,XL,74x55x46,22.05,Nie,Overnight,Platba vopred,,,Krehké - opatrne,2026-05-11,Čaká na doručenie
366,KE00036667,Peter Halász,"Hemerkova 142, Košice - Sídlisko KVP",Sídlisko KVP,Dokument,XL,90x68x56,15.04,Nie,Štandard,Dobierka,265.58,1081.44,Môže zanechať u suseda,2026-05-14,Čaká na doručenie
367,KE00036767,Mária Király,"Galvaniho 101, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Knihy,XL,80x60x50,4.51,Nie,Štandard,Firemná faktura,,709.2,Nezalomovať,2026-05-13,Čaká na doručenie
368,KE00036877,Adam Pintér,"Krásnohorská 56/29, Košice - Krásna",Krásna,Potraviny,L,45x36x27,12.28,Nie,Expres,Platba vopred,,1976.88,Môže zanechať u suseda,2026-05-16,Čaká na doručenie
369,KE00036948,Andrea Fábián,"Herlianska 97, Košice - Šaca",Šaca,Nábytok,M,28x24x19,3.0,Nie,Expres,Dobierka,193.98,,Nezalomovať,2026-05-11,Čaká na doručenie
370,KE00037018,Peter Kováč,"Poľná 144/15, Košice - Košická Nová Ves",Košická Nová Ves,Liek,S,18x13x9,1.92,Nie,Štandard,Dobierka,93.79,561.66,Nezalomovať,2026-05-15,Čaká na doručenie
371,KE00037127,Igor Hegedűs,"Borová 124/17, Košice - Barca",Barca,Knihy,L,59x47x35,12.46,Nie,Štandard,Platba vopred,,1757.85,Doručiť osobne,2026-05-18,Čaká na doručenie
372,KE00037297,Andrea Fábián,"Ovocná 14, Košice - Barca",Barca,Dokument,M,24x20x16,1.81,Nie,Štandard,Dobierka,51.78,639.26,,2026-05-16,Čaká na doručenie
373,KE00037334,Barbora Balogh,"Záhradnícka 93, Košice - Košická Nová Ves",Košická Nová Ves,Knihy,S,16x12x8,1.13,Nie,Expres,Platba vopred,,450.02,Môže zanechať u suseda,2026-05-17,Čaká na doručenie
374,KE00037486,Alžbeta Szűcs,"Brestová 135/46, Košice - Krásna",Krásna,Dokument,XS,9x9x4,0.47,Nie,Overnight,Firemná faktura,,,Doručiť osobne,2026-05-13,Čaká na doručenie
375,KE00037524,Adam Lukáč,"Mníšska 45/2, Košice - Vyšné Opátske",Vyšné Opátske,Elektronika,S,17x12x8,1.45,Áno,Štandard,Dobierka,490.65,,,2026-05-12,Čaká na doručenie
376,KE00037687,Róbert Baláž,"Ťahanovská 124/3, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Balík,XS,11x11x5,0.31,Nie,Štandard,Dobierka,154.31,256.35,,2026-05-18,Čaká na doručenie
377,KE00037711,Lukáš Hudák,"Letná 48/2, Košice - Juh",Juh,Knihy,XXL,141x94x82,47.95,Nie,Štandard,Platba vopred,,,Nevystavovať vlhku,2026-05-17,Čaká na doručenie
378,KE00037866,Patrik Fehér,"Kláštorná 50/11, Košice - Vyšné Opátske",Vyšné Opátske,Elektronika,XS,11x11x5,0.14,Áno,Ekonomický,Firemná faktura,,,,2026-05-13,Čaká na doručenie
379,KE00037920,Juraj Lukács,"Arm. gen. Svobodu 91/28, Košice - Dargovských hrdinov",Dargovských hrdinov,Knihy,S,19x14x9,1.57,Nie,Štandard,Dobierka,382.33,,,2026-05-14,Čaká na doručenie
380,KE00038070,Anna Király,"Továrenská 30, Košice - Šaca",Šaca,Liek,XXL,110x73x64,49.05,Nie,Štandard,Firemná faktura,,1683.71,,2026-05-15,Čaká na doručenie
381,KE00038135,Ondrej Baláž,"Ovocná 4/32, Košice - Barca",Barca,Dokument,L,48x39x29,10.22,Nie,Štandard,Platba vopred,,406.18,Nevystavovať vlhku,2026-05-16,Čaká na doručenie
382,KE00038223,Martina Fedor,"Poľovská 60/47, Košice - Poľov",Poľov,Potraviny,XXL,132x88x77,33.75,Nie,Štandard,Firemná faktura,,,Doručiť osobne,2026-05-14,Čaká na doručenie
383,KE00038319,Igor Šimko,"Rumunská 126, Košice - Dargovských hrdinov",Dargovských hrdinov,Dokument,XS,8x8x4,0.12,Áno,Štandard,Dobierka,304.27,1250.23,Doručiť osobne,2026-05-13,Čaká na doručenie
384,KE00038458,Dušan Sipos,"Svätá 120, Košice - Vyšné Opátske",Vyšné Opátske,Náhradný diel,L,50x40x30,8.59,Nie,Štandard,Dobierka,218.05,,Skladovať v chlade,2026-05-17,Čaká na doručenie
385,KE00038579,Alžbeta Katona,"Tichá 10, Košice - Myslava",Myslava,Potraviny,M,34x28x23,1.24,Nie,Štandard,Platba vopred,,,,2026-05-11,Čaká na doručenie
386,KE00038654,Michal Halász,"Okružná 144/33, Košice - Pereš",Pereš,Nábytok,M,29x24x19,4.87,Nie,Expres,Dobierka,35.4,,Doručiť osobne,2026-05-18,Čaká na doručenie
387,KE00038712,Petra Balogh,"Zlatá 88, Košice - Staré Mesto",Staré Mesto,Elektronika,M,28x24x19,0.75,Áno,Štandard,Platba vopred,,681.81,,2026-05-17,Čaká na doručenie
388,KE00038898,Petra Jakab,"Hornohorská 10, Košice - Krásna",Krásna,Liek,XL,92x69x58,10.2,Nie,Štandard,Firemná faktura,,981.83,,2026-05-13,Čaká na doručenie
389,KE00038983,Dušan Fekete,"Volgogradská 128/49, Košice - Juh",Juh,Potraviny,S,20x15x10,0.85,Nie,Štandard,Platba vopred,,601.67,Volať vopred,2026-05-15,Čaká na doručenie
390,KE00039050,Marek Szőke,"Hájna 24/38, Košice - Poľov",Poľov,Náhradný diel,M,27x22x18,3.05,Nie,Štandard,Firemná faktura,,,Skladovať v chlade,2026-05-14,Čaká na doručenie
391,KE00039178,Lenka Mészáros,"Leningradská 103, Košice - Juh",Juh,Balík,XXL,132x88x77,17.22,Nie,Expres,Dobierka,252.11,,Volať vopred,2026-05-11,Čaká na doručenie
392,KE00039246,Anna Hudák,"Rybná 16/24, Košice - Lorinčík",Lorinčík,Oblečenie,S,17x12x8,1.43,Nie,Overnight,Platba vopred,,,,2026-05-15,Čaká na doručenie
393,KE00039345,Rastislav Hudák,"Opatovská cesta 61, Košice - Západ",Západ,Oblečenie,S,16x12x8,1.63,Nie,Štandard,Platba vopred,,67.99,Doručiť osobne,2026-05-15,Čaká na doručenie
